"constructorId","constructorRef","name","nationality","url","X"
1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",NA
3,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering",NA
4,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_F1",NA
5,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso",NA
6,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari",NA
9,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing",NA
10,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Force_India",NA
15,"sauber","Sauber","Swiss","http://en.wikipedia.org/wiki/Sauber",NA
131,"mercedes","Mercedes","German","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One",NA
206,"marussia","Marussia","Russian","http://en.wikipedia.org/wiki/Marussia_F1",NA
207,"caterham","Caterham","Malaysian","http://en.wikipedia.org/wiki/Caterham_F1",NA
208,"lotus_f1","Lotus F1","British","http://en.wikipedia.org/wiki/Lotus_F1",NA
209,"manor","Manor Marussia","British","http://en.wikipedia.org/wiki/Manor_Motorsport",NA
210,"haas","Haas F1 Team","American","http://en.wikipedia.org/wiki/Haas_F1_Team",NA
